id,runName,instrumentType,runType,data_folder,startDate,totalReadCount
2028,MS434,MiSeq,Miseq-600cycV3,190226_M01106_0270_000000000-C8V9K,20190226,0
2029,NOV80,NovaSeq, PE28_91,190228_A00460_0082_AH5GVNDRXX,20190228,4587473782
2030,NS263,NextSeq,SR150_Mid,190227_NS500415_0256_AHJ727AFXY,20190227,1301757247
2031,MS435,MiSeq,Miseq-600cycV3,190227_M04679_0138_000000000-CCN32,20190227,0
2032,NOV81,NovaSeq,PE150,190228_A00460_0083_BHGMNLDSXX,20190228,30577251070
2033,MS436,MiSeq,Miseq-300cycV2,190301_M01106_0271_000000000-C875F,20190301,0
2034,MINI40,MiniSeq,PE150_HO,190301_MN00710_0042_A000H2LVVL,20190301,84432586
2037,MINI41,MiniSeq,Quant NovaSeq,190228_MN00710_0041_A000H2LWYM,20190228,617459334
2039,NS264,NextSeq,PE75_Mid,190301_NS500415_0257_AHJFMJAFXY,20190301,452094866
2041,NOV82,NovaSeq,PE150,190304_A00460_0085_BHGN37DSXX,20190304,36373107704
2043,NS265,NextSeq,PE150_HIGH,190305_NS500415_0258_AHHJGCBGX9,20190305,3115103500
2044,NOV83,NovaSeq,PE150,190306_A00460_0086_AH77FWDRXX,20190306,7050427762
2045,RUN511,HiSeq2500,PE150_index,190314_K00206_0197_AH5J7TBBXY,20190314,41494483162
2048,RUN512,HiSeq2500,SR125_index,190313_700523F_0284_ACDLWMANXX,20190313,0
2051,MS437,MiSeq,Miseq-500cycV2,190307_M04679_0139_000000000-D5TTD,20190307,0
2054,MS438,MiSeq,Miseq-600cycV3,190307_M01106_0272_000000000-CCHLC,20190307,0
2055,NS266,NextSeq,PE75_HIGH,190311_NS500415_0260_AHHJT2BGX9,20190311,15744145342
2056,NS267,NextSeq,SR75_HIGH,190308_NS500415_0259_AHWNHFBGX7,20190308,0
2057,MS439,MiSeq,Miseq-600cycV3,190308_M04679_0140_000000000-CCJ8L,20190308,0
2060,NOV85,NovaSeq,SR100,190321_A00460_0091_AH77FNDRXX,20190321,8963244591
2061,RUN513,HiSeq2500,SR125_index,190319_700523F_0286_BCDLFFANXX,20190319,2060498885
2064,NOV86,NovaSeq, PE28_91,190311_A00460_0088_AH5GNFDRXX,20190311,4770949584
2067,MS440,MiSeq,Miseq-600cycV3,190311_M01106_0273_000000000-C9PKN,20190311,0
2068,MS441,MiSeq,Miseq-600cycV3,190311_M04679_0141_000000000-CCHLV,20190311,0
2069,MS442,MiSeq,Miseq-500cycV2,190314_M01106_0274_000000000-C8GTL,20190314,0
2070,iSeq24,ISeq,Quant NovaSeq,20190312_FS10000406_27_BPA73020-2729,20190312,129452092
2071,NOV87,NovaSeq, PE28_91,190313_A00460_0089_AHHFCYDMXX,20190313,9186251928
2072,iSeq25,ISeq,Quant NovaSeq,20190315_FS10000406_28_BPA73010-2313,20190315,198185794
2073,iSeq26,ISeq,Quant NovaSeq,20190319_FS10000406_29_BPA73017-2509,20190319,207998738
2074,MINI42,MiniSeq,Quant NovaSeq,190313_MN00710_0043_A000H2NLHK,20190313,85121998
2075,MS443,MiSeq,Miseq-300cycV2,190315_M04679_0142_000000000-G2JC9,20190315,0
2076,RUN514,HiSeq2500,SR125_index,190408_700523F_0288_ACDM97ANXX,20190408,838317157
2078,NS268,NextSeq,PE75_Mid,190315_NS500415_0261_AHJKJHAFXY,20190315,336379404
2079,NS269,NextSeq,PE150_HIGH,190318_NS500415_0262_AHHJNYBGX9,20190318,2421637126
2081,RUN512_repeat,HiSeq2500,SR125_index,190319_700523F_0285_ACDM3VANXX,20190319,1118586054
2082,MINI43,MiniSeq,PE150_HO,190318_MN00710_0044_A000H2NLL3,20190318,88477918
2084,NOV84,NovaSeq,SR100,190319_A00460_0090_AH5CNTDRXX,20190319,21138076472
2085,MS444,MiSeq,Miseq-600cycV3,190319_M04679_0143_000000000-CD5BL,20190319,0
2086,NS270,NextSeq,PE150_Mid,190320_NS500415_0263_AHJ7Y7AFXY,20190320,416120014
2087,iSeq27,ISeq,Quant NovaSeq,20190321_FS10000406_30_BPA73020-1130,20190321,493129598
2089,iSeq28,ISeq,Quant NovaSeq,20190326_FS10000406_31_BPA73017-1820,20190326,364610398
2090,iSeq29,ISeq,Quant NovaSeq,20190328_FS10000406_33_BPA73010-2011,20190328,77061026
2091,NOV89,NovaSeq, PE28_91,190321_A00460_0092_BHHCTTDMXX,20190321,11162477156
2092,RUN515,HiSeq2500,PE75_index,190404_700523F_0287_ACD251ANXX,20190404,5710458066
2093,NS271,NextSeq,PE75_Mid,190321_NS500415_0264_AHJF7NAFXY,20190321,529443604
2094,MS445,MiSeq,Miseq-600cycV3,190327_M04679_0144_000000000-CD4BL,20190327,0
2096,NS272,NextSeq,PE75_HIGH,190326_NS500415_0265_AHHJT7BGX9,20190326,0
2098,iSeq30,ISeq,Quant NovaSeq,20190401_FS10000406_34_BPA73017-1208,20190401,125264942
2099,MS446,MiSeq,Miseq-500cycV2,190328_M01106_0275_000000000-C6832,20190328,0
2100,iSeq28_copy,ISeq,Quant NovaSeq,20190327_FS10000406_32_BPC29607-1808,20190327,76558848
2101,NOV90,NovaSeq,SR100,190328_A00460_0094_BH52V7DRXX,20190328,13042184265
2102,NS273,NextSeq,PE75_Mid,190329_NS500415_0267_AHJJMMAFXY,20190329,344047576
2103,NOV91,NovaSeq, PE28_91,190329_A00460_0095_AHJCVGDMXX,20190329,11363506200
2106,NOV92,NovaSeq,SR100,190402_A00460_0096_BH5CT2DRXX,20190402,8982049431
2107,iSeq31,ISeq,Quant NovaSeq,20190412_FS10000406_37_BPA73017-2212,20190412,174910558
2108,NS274,NextSeq,PE150_Mid,190402_NS500415_0268_AHKTW3AFXY,20190402,36397014076
2109,NOV93,NovaSeq,PE28_91,190403_A00460_0097_AH77WYDRXX,20190403,2298121348
