run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
322,2015-03-26,HiSeq2500,3422380946,PE125,427
323,2015-04-08,HiSeq2500,1646149754,SR125,205
324,2015-04-10,HiSeq2500,,,
325,2015-04-30,HiSeq2500,3634432370,PE125,454
326,2015-04-08,HiSeq2500,1399622562,SR50,69
327,2015-04-10,MiSeq,,,
328,2015-04-30,HiSeq2500,1627423001,SR125,203
329,0000-00-00,MiSeq,,,
330,2015-04-15,HiSeq2500,3003680756,PE125,375
331,2015-04-20,MiSeq,,,
332,2015-05-08,HiSeq2500,3326997392,PE125,415
333,2015-04-28,MiSeq,,,
334,2015-04-28,MiSeq,,,
335,2015-05-08,HiSeq2500,1237380700,SR125,154
336,2015-05-21,HiSeq2500,3188024694,PE125,398
337,2015-05-21,HiSeq2500,1266707633,SR125,158
338,2015-05-07,MiSeq,,,
339,2015-05-11,MiSeq,,,
340,2015-05-13,MiSeq,,,
341,2015-06-05,HiSeq2500,1591970807,SR125,198
342,2015-06-18,HiSeq2500,3240028158,PE125,405
343,2015-06-05,HiSeq2500,1642656211,SR125,205
344,0000-00-00,MiSeq,,,
345,2015-06-19,HiSeq2500,1322920006,SR125,165
346,2015-06-19,HiSeq2500,1777356755,SR125,222
348,2015-06-26,HiSeq2500,3895951264,PE125,486
349,2015-06-26,HiSeq2500,1464664431,SR125,183
350,2015-06-18,HiSeq2500,1894958622,SR125,236
351,2015-06-05,MiSeq,,,
352,0000-00-00,MiSeq,,,
353,0000-00-00,MiSeq,,,
354,2015-07-14,HiSeq2500,3740304344,PE125,467
355,0000-00-00,NextSeq,,,
357,2015-06-18,NextSeq,,,
358,2015-07-03,HiSeq2500,1514083645,SR125,189
359,2015-07-03,HiSeq2500,,,
360,2015-07-09,HiSeq2500,482483609,SR125,60
361,2015-07-17,HiSeq2500,1868194731,SR125,233
362,2015-06-23,MiSeq,,,
363,2015-06-25,MiSeq,,,
364,2015-06-30,MiSeq,,,
365,2015-07-02,NextSeq,,,
366,2015-07-31,HiSeq2500,3979144130,PE125,497
369,2015-07-23,HiSeq2500,1615642547,SR125,201
370,2015-07-09,HiSeq2500,978024180,SR125,122
372,2015-07-13,MiSeq,,,
373,2015-07-17,HiSeq2500,1980741593,SR125,247
374,2015-07-16,MiSeq,,,
375,2015-07-23,HiSeq2500,1424179768,SR125,178
376,2015-07-31,HiSeq2500,1474853322,SR125,184
377,2015-07-31,HiSeq2500,3427248395,PE125,428
378,2015-07-31,HiSeq2500,3527064094,PE125,440
379,2015-08-12,HiSeq2500,1613856243,SR125,201
